Node1;Node2;Length_of_Edge;Edge_Betweenness_Centrality_Weighted
159;151;98.4575;0.02033770635867177
159;160;33.8799;0.030506559538007662
151;43;10.4545;0.011173184357541898
151;147;63.137;0.002636369342790785
147;141;88.794;0.02196974452325654
147;154;86.2702;0.03138534931893792
160;154;76.6783;0.17927311530977338
160;174;238.4222;0.21680999309522314
131;38;37.2825;0.011173184357541898
131;141;108.0959;0.003264076329169543
131;120;96.4046;0.03810181407319063
131;133;132.326;0.05705856506182914
141;40;36.9239;0.011173184357541898
120;36;29.8918;0.011173184357541898
120;111;239.5323;0.017638566317243108
111;4;18.9753;0.011173184357541898
111;9;19.2665;0.011173184357541898
111;177;100.6892;0.01701085933086435
154;133;320.7162;0.14173623752432363
93;30;211.4013;0.011173184357541898
93;95;231.6357;0.027713263448622166
93;174;394.9224;0.032542422530496086
77;81;36.0157;0.03012784298955913
77;63;72.0316;0.023243989705605424
77;16;88.3006;0.011173184357541898
77;78;262.9372;0.01458372565019982
81;18;84.379;0.011173184357541898
81;83;179.5885;0.05034000795095515
63;56;43.0813;0.006316824639591571
63;14;91.6727;0.011173184357541898
63;67;261.0448;0.005042579457242693
56;12;91.0105;0.011173184357541898
56;67;303.3003;0.015904002678216473
177;1;99.1806;0.011173184357541898
177;107;60.3822;0.03747410708681187
107;98;27.6228;0.03314292888079844
107;133;213.3854;0.07840060259870692
98;35;118.9985;0.011173184357541898
98;21;94.6168;0.011173184357541898
95;26;206.9697;0.011173184357541898
95;92;36.1127;0.012152407256292767
95;94;50.0423;0.026194212541585576
92;94;62.6425;0.008290143378963909
92;83;81.0409;0.024639519109420534
174;173;299.7535;0.2192643274119641
173;83;285.9631;0.15993464446331906
173;155;304.0953;0.20110415225136927
94;96;282.6439;0.03730469866305653
155;134;295.6658;0.17348948684089682
155;148;91.0275;0.04137294383198592
134;89;255.857;0.042141719462112134
134;139;385.8143;0.16493966536917326
148;144;30.8913;0.02332809236127449
148;157;124.481;0.033154654147851306
144;145;138.6359;0.0246602706895595
144;121;265.3312;0.03500648584825495
89;79;117.8606;0.010053773565166445
89;162;70.1783;0.02247356722224444
79;162;63.8124;0.0011194107923754523
82;78;40.4394;0.055742472747055
82;84;88.3196;0.1516654246505679
82;83;82.2422;0.12977309732229797
78;67;57.4597;0.03136651810934655
157;169;200.2496;0.042918411535274724
157;145;246.2131;0.017636099720879303
65;121;147.6957;0.0169553030890689
