Node1,Node2,Carga,Saturacao
159,151,41299.98,27.533
159,160,51373.15,34.249
151,43,21153.65,14.102
151,147,5036.58,3.358
147,141,130951.17,87.301
147,154,131958.48,87.972
160,154,252836.48,168.558
160,174,307231.58,204.821
131,38,17124.38,11.416
131,141,116848.73,77.899
131,120,77563.38,51.709
131,133,9065.85,6.044
141,40,14102.43,9.402
120,36,13095.12,8.73
120,111,52380.47,34.92
111,4,17124.38,11.416
111,9,13095.12,8.73
111,177,3021.95,2.015
154,133,106775.57,71.184
93,30,17124.38,11.416
93,95,39285.35,26.19
93,174,17124.38,11.416
77,81,60439.0,40.293
77,63,31226.82,20.818
77,16,12087.8,8.059
77,78,0,0.0
81,18,13095.12,8.73
81,83,86629.23,57.753
63,56,16117.07,10.745
63,14,16117.07,10.745
63,67,13095.12,8.73
56,12,17124.38,11.416
56,67,24175.6,16.117
177,1,13095.12,8.73
177,107,39285.35,26.19
107,98,51373.15,34.249
107,133,99724.35,66.483
98,35,11080.48,7.387
98,21,15109.75,10.073
95,26,21153.65,14.102
95,92,54395.1,36.263
95,94,6043.9,4.029
92,94,17124.38,11.416
92,83,82599.97,55.067
174,173,305216.95,203.478
173,83,186353.58,124.236
173,155,210529.18,140.353
94,96,13095.12,8.73
155,134,11080.48,7.387
155,148,217580.4,145.054
134,89,9065.85,6.044
134,139,11080.48,7.387
148,144,236719.42,157.813
148,157,51373.15,34.249
144,145,119870.68,79.914
144,121,116848.73,77.899
89,79,0,0.0
89,162,16117.07,10.745
79,162,20146.33,13.431
82,78,60439.0,40.293
82,84,295143.78,196.763
82,83,240748.68,160.499
78,67,48351.2,32.234
157,169,51373.15,34.249
157,145,12087.8,8.059
65,121,82599.97,55.067
65,162,71519.48,47.68
65,71,91665.82,61.111
121,123,32234.13,21.489
162,0,21153.65,14.102
169,45,20146.33,13.431
169,51,60439.0,40.293
84,70,173258.47,115.506
84,85,126921.9,84.615
70,59,161170.67,107.447
70,69,22160.97,14.774
145,146,135987.75,90.658
123,71,1007.32,0.672
123,125,46336.57,30.891
71,75,96702.4,64.468
96,27,25182.92,16.789
96,59,37270.72,24.847
138,7,16117.07,10.745
138,75,45329.25,30.219
138,126,23168.28,15.446
75,102,90658.5,60.439
102,117,64468.27,42.979
102,105,24175.6,16.117
117,125,54395.1,36.263
117,119,65475.58,43.65
125,139,65475.58,43.65
163,146,131958.48,87.972
163,165,36263.4,24.176
163,59,118863.37,79.242
146,142,225638.93,150.426
142,139,176280.42,117.52
142,143,58424.37,38.95
139,137,184338.95,122.893
51,57,19139.02,12.759
51,54,53387.78,35.592
57,58,98717.03,65.811
57,59,103753.62,69.169
58,69,14102.43,9.402
58,54,96702.4,64.468
69,85,8058.53,5.372
69,66,25182.92,16.789
85,80,127929.22,85.286
126,6,18131.7,12.088
126,105,30219.5,20.146
126,5,17124.38,11.416
105,119,88643.87,59.096
105,97,82599.97,55.067
119,137,126921.9,84.615
137,136,252836.48,168.558
136,143,86629.23,57.753
136,129,209521.87,139.681
143,153,139009.7,92.673
97,91,79578.02,53.052
97,115,0,0.0
153,164,88643.87,59.096
153,150,56409.73,37.606
164,165,109797.52,73.198
164,161,26190.23,17.46
165,54,84614.6,56.41
100,25,17124.38,11.416
100,23,11080.48,7.387
100,90,57417.05,38.278
100,29,18131.7,12.088
90,19,9065.85,6.044
90,87,87636.55,58.424
54,66,116848.73,77.899
54,53,84614.6,56.41
91,115,55402.42,36.935
91,74,23168.28,15.446
66,80,111812.15,74.541
66,61,21153.65,14.102
115,114,50365.83,33.577
80,87,177287.73,118.192
80,76,161170.67,107.447
87,108,77563.38,51.709
108,33,19139.02,12.759
108,106,45329.25,30.219
74,114,0,0.0
74,60,23168.28,15.446
114,113,59431.68,39.621
132,3,15109.75,10.073
132,60,43314.62,28.876
132,2,12087.8,8.059
60,113,46336.57,30.891
113,128,113826.78,75.885
129,140,186353.58,124.236
129,128,234704.78,156.47
140,150,185346.27,123.564
140,130,6043.9,4.029
53,61,58424.37,38.95
53,50,129943.85,86.629
128,124,185346.27,123.564
61,76,56409.73,37.606
61,55,15109.75,10.073
161,48,16117.07,10.745
161,158,15109.75,10.073
76,73,112819.47,75.213
106,32,18131.7,12.088
106,104,34248.77,22.833
150,158,239741.37,159.828
50,170,96702.4,64.468
50,178,34248.77,22.833
158,170,272982.82,181.989
158,156,167214.57,111.476
73,68,29212.18,19.475
73,86,84614.6,56.41
170,178,136995.07,91.33
170,176,47343.88,31.563
104,28,14102.43,9.402
104,103,26190.23,17.46
178,55,143038.97,95.359
178,176,22160.97,14.774
116,10,10073.17,6.715
116,172,44321.93,29.548
116,8,18131.7,12.088
55,68,140017.02,93.345
55,52,11080.48,7.387
149,44,14102.43,9.402
149,156,50365.83,33.577
149,39,18131.7,12.088
172,112,70512.17,47.008
172,42,16117.07,10.745
68,86,107782.88,71.855
68,64,29212.18,19.475
156,166,78570.7,52.38
156,152,51373.15,34.249
124,130,27197.55,18.132
124,122,168221.88,112.148
112,122,104760.93,69.841
112,49,16117.07,10.745
166,168,54395.1,36.263
166,167,0,0.0
86,103,200456.02,133.637
86,64,18131.7,12.088
130,135,21153.65,14.102
122,118,51373.15,34.249
176,175,56409.73,37.606
168,171,20146.33,13.431
168,167,18131.7,12.088
103,31,16117.07,10.745
103,101,158148.72,105.432
135,127,19139.02,12.759
135,152,40292.67,26.862
118,127,20146.33,13.431
118,34,19139.02,12.759
171,46,12087.8,8.059
171,167,0,0.0
175,52,39285.35,26.19
175,47,12087.8,8.059
64,62,30219.5,20.146
127,37,17124.38,11.416
52,62,31226.82,20.818
52,11,9065.85,6.044
101,99,87636.55,58.424
101,110,49358.52,32.906
62,13,26190.23,17.46
72,17,11080.48,7.387
72,88,38278.03,25.519
72,15,14102.43,9.402
99,88,60439.0,40.293
99,22,12087.8,8.059
152,41,14102.43,9.402
110,109,35256.08,23.504
88,20,10073.17,6.715
109,24,17124.38,11.416
